ReturnCode,ReturnMsg,Explanation
1380000,パラメータエラーです,必須フィールドが渡されていないか、フィールドの種類が一致しません
1380003,データベースのクエリに失敗しました,mysql がハングアップするなどの問題
1380004,データベースの更新に失敗しました,mysql がハングアップするなどの問題
1380006,redis操作に失敗しました,redis がハングアップするなどの問題
1380007,システム エラーです,
1330001,destination cannot  arrive,
1330002,blocked by insulate zone,
1330003,blocked by frame,
1382000,session が存在しません,プロセス タスクを追加するときに、存在しないファイルを渡すsession_id
1382001,session が閉じています,プロセス タスクを追加するときに、終了したsession_id
1382002,nodeID が存在しません,ターゲット の場所が存在しない nodeID に設定されます
1382003,タスクは取り消されました,
1382004,タスクは失敗として設定されます,
1382005,task が存在しません,キャンセル、再試行、タスクの詳細の取得など、存在しないタスク
1382006,sessionID のロックに失敗しました,terminate 同時操作
1382007,ポッド ID が存在しません,コタツを移動するときに、存在しないポッド ID を渡します
1382008,AGVのスケジューリング権限はありません,AGVまたはコタツを移動する場合、owner はビジネス パーティに属していないので、最初に SetRobotOwnerを呼び出してデバイスを占有する必要があります
1382009,タスクは終了しました,終了したタスクをキャンセルすることはできません
1382010,基になるタスクではありません,cancelTask は基本タスクである必要があります
1382011,タスクは失敗状態ではありません,タスクを再試行しても、タスクは失敗状態ではありません
1382013,robotID が存在しません,渡された引数のrobotID が存在しません
1382014,AGVにはコタツがある,充電などの作業中にコタツを持つ必要はありません
1382015,AGVは、他のユーザーによって占有されています,AGVの所属を設定する場合、AGVは既に他のユーザー(非TES) が占有します
1382016,AGVには未完了のタスクがあります,AGVの所属を設定する場合、AGVは未完了のタスクを持っています
1382018,ストレージに操作ポイントが設定されていない,
1382028,コタツは他のAGVに運ばされた,
1382029,テレポート エリアにはありません,changeMapの 場合、AGVは転送エリアにいません
1382031,目的地は充電エリアではありません,chargeRobotの 場合、目的地は充電エリアではありません
1382032,AGVのバッテリー残量が少ない,
1382033,ターゲットmapID に達しません,changeMapの場合、ターゲットmapID は達しません
1382035,シンクロターン時にコタツの向きを指定する方法は、現時点ではサポートされていません,シンクロターンでは、コタツの向きを指定することはできません
1382036,シンクロターンは現在サポートされていませんが、コタツをドロップしない場合は、AGVの向きを指定します,シンクロターンでは、ダウンロードツールを置かなければAGVの向きを指定できません
1382037,ナビゲーションポイントへのコタツの配置は、現時点ではサポートされていません,
1382038,Session で最初に失敗したタスクを再試行してください,
1382039,コタツをナビゲーション ポイントに移動しますが、コタツの向きの指定はサポートされていません,宛先はナビゲーション ポイントであり、コタツの向きを指定することはできません
1382042,依存するtaskIDが存在しません,
1383001,AGVが存在しないか、オフラインか、AGVが logoff されています,
5102001,この操作は受け付けられません,((removePods)1つのマシンからコタツを取り外す必要はありません